タイトル	監督	シリーズ構成	制作会社
サクラクエスト	増井壮一	横井昌宏	P.A.Works
僕のヒーローアカデミア2期	長崎健司	黒田洋介	ボンズ
アホガール	草川啓造	あおしまたかし	ディオメディア
はじめてのギャル	古川博之	百瀬祐一郎	NAZ
Fate/Apocrypha	浅井義之	東出祐一郎	A-1Pictures
メイドインアビス	小島正幸	倉田英之	キネマシトラス
最遊記RELOAD BLAST	中野英明	古怒田健志	プラチナビジョン
天使の3P	柳伸亮	雑破業	projectNo.9
てーきゅう9期	板垣伸	板垣伸	ミルパンセ
ノラと皇女と野良猫ハート	森井ケンシロウ	はと	ダブトゥーンスタジオ
銀魂.	宮脇千鶴	大和屋暁	サンライズ
冴えない彼女の育て方2期	亀井幹太	丸戸史明	A-1Pictures
進撃の巨人2期	肥塚正史	小林靖子	WITSTUDIO
アイドルマスターシンデレラガールズ劇場	まんきゅう	まんきゅう	ギャザリング
恋愛暴君	濁川敦	高橋ナツコ	EMTスクエアード
エロマンガ先生	竹下良平	高橋龍也	A-1Pictures
終末何してますか？忙しいですか？救ってもらってもいいですか？	和田純一	枯野瑛	サテライト
つぐもも	倉谷涼一	倉谷涼一	ゼロジー
機動戦士ガンダム鉄血のオルフェンズ	長井龍雪	岡田麿里	サンライズ
政宗くんのリベンジ	渚未來	横手美智子	SILVER_LINK
亜人ちゃんは語りたい	安藤良	吉岡たかを	A-1Pictures
この素晴らしい世界に祝福を！2期	金崎貴臣	上江洲誠	スタジオディーン
あいまいみーSurgical friends	いまざきいつき	いまざきいつき	セブン
小林さんちのメイドラゴン	武本康弘	山田由香	京都アニメーション
セイレン	小林智樹	高山箕犀	Studio五組
クズの本懐	安藤正臣	上江洲誠	Lerche
ジョジョの奇妙な冒険ダイヤモンドは砕けない	津田尚克	小林靖子	david_production
おくさまが生徒会長！＋！	佐々木勅嘉	たかだ誠	セブン
DRIFTERS	鈴木健一	倉田英之	HOODS_DRIFTERS_STUDIO
ブレイブウィッチーズ	高橋和宏	ストライカーユニット	SILVER_LINK
ガーリッシュナンバー	井端翔太	渡航	ディオメディア
装神少女まとい	迫井政行	黒田洋介	WHITE_FOX
亜人	瀬下寛之	瀬古浩司	ポリゴン・ピクチュアズ
学園ハンサム	木足利根曽	チーム欲求不満	東北ペネット
Re:ゼロから始まる異世界生活	渡邉政治	横井昌宏	WHITE_FOX
この美術部には問題がある！	及川啓	荒川稔久	feel
魔装学園H×H	古川博之	山田靖智	プロファクションアイムズ
Fate/kaleid linerプリズマ☆イリヤ drei	高橋賢	井上堅二＆水瀬葉月	SILVER_LINK
91days	鏑木ひろ	岸本卓	朱夏
モブサイコ100	立川譲	瀬古浩司	ボンズ
planetarian~ちいさなほしのゆめ	津田尚克	ヤスカワショウゴ	david_production
ダンガンロンパ3 希望編	岸誠二	海法紀光	Lerche
ダンガンロンパ3 絶望編	岸誠二	海法紀光	Lerche
ハンドレッド	小林智樹	白根秀樹	プロファクションアイムズ
ネトゲの嫁は女の子じゃないと思った？	柳伸亮	高橋龍也	projectNo.9
くまみこ	松田清	ピエール杉浦	キネマシトラス
うしおととら	西村聡	井上敏樹	MAPPA&VOLN
甲鉄城のカバネリ	荒木哲郎	大河内一楼	WITSTUDIO
ビッグオーダー	鎌仲史陽	高山カツヒコ	アスリード
コードギアス亡国のアキト	赤根和樹	赤根和樹	サンライズ
うたわれるもの偽りの仮面	元永慶太郎	鴻野貴光	WHITE_FOX
おそ松さん	藤田陽一	松原秀	studioぴえろ
この素晴らしい世界に祝福を！	金崎貴臣	上江洲誠	スタジオディーン
無彩限のファントムワールド	石原立也	志茂文彦	京都アニメーション
てーきゅう7期	板垣伸	板垣伸	ミルパンセ
僕だけがいない街	伊藤智彦	岸本卓	A-1Pictures
ハッカドール	げそいくお	真衣沢かなと	Creators_in_Pack
緋弾のアリアAA	川畑喬	志茂文彦	動画工房
進撃！巨人中学校	井端義秀	後藤みどり	ProductionIG
俺がお嬢様学校に「庶民サンプル」としてゲッツされた件	神保昌登	下山健人	SILVER_LINK
新妹魔王の契約BURST	斎藤久	植竹須美男	プロダクションアイムズ
ランス・アンド・マスクス	イシグロキョウヘイ	子安秀明	Studio五組
落第騎士の英雄譚	大沼心	ヤスカワショウゴ	SILVER_LINK
ご注文はうさぎですか？？	橋本祐之	ふでやすかずゆき	WHITE_FOX
終物語	新房昭之	東冨耶子	シャフト
学戦都市アスタリスク	小野学	セトウケンジ	A-1Pictures
櫻子さんの足元には死体が埋まっている	加藤誠	伊神貴世	TROYCA
対魔導学園35試験小隊	河村智之	下山健人	SILVER_LINK
てーきゅう6期	板垣伸	板垣伸	ミルパンセ
不思議なソメラちゃん	いまざきいつき	いまざきいつき	セブン
DD北斗の拳2イチゴ味＋	大地丙太郎	関根昌之	ノース・スターズ・ピクチャーズ
ワンパンマン	夏目真悟	鈴木智尋	マッドハウス
俺物語！！	浅香守生	高橋ナツコ	マッドハウス
ニンジャスレイヤーフロムアニメイシヨン	雨宮哲	雨宮哲	TRIGGER
のんのんびよりりぴーと	川面真也	吉田玲子	SILVER_LINK
おくさまが生徒会長！	古川博之	たかだ誠	セブン
干物妹！うまるちゃん	太田雅彦	あおしまたかし	動画工房
実は私は	山本靖貴	山本憲一	トムス・エンタテインメント
下ネタという概念が存在しない退屈な世界	鈴木洋平	横井昌宏	JCSTAFF
がっこうぐらし！	安藤正臣	海法紀光	Lerche
てーきゅう5期	板垣伸	板垣伸	ミルパンセ
ワカコ酒	新久千映	山岡実	OfficeDCI
空戦魔導士候補生の教官	稲垣隆行	山口宏	ディオメディア
監獄学園プリズンスクール	水島努	横手美智子	JCSTAFF
乱歩奇譚Game of Laplace	岸誠二	上江洲誠	Lerche
アイドルマスターシンデレラガールズ	高雄統子	高橋龍也	A-1Pictures
Fate/kaleid linerプリズマ☆イリヤ 2wei Hertz	神保昌登	井上堅二＆水瀬葉月	SILVER_LINK
ジョジョの奇妙な冒険スターダストクルセイダース	津田尚克	小林靖子	david_production
ハロー！！きんいろモザイク	天衝	綾奈ゆにこ	Studio五組
グリザイアの楽園	天衝	倉田英之	エイトビット
ダンジョンに出会いを求めるのは間違っているだろうか	山川吉樹	白根秀樹	JCSTAFF
やはり俺の青春ラブコメはまちがっている。続	及川啓	菅正太郎	feel
Fate/staynight UBW	三浦貴博	ufotable	ufotable
てーきゅう4期	板垣伸	板垣伸	ミルパンセ
SHIROBAKO	水島努	横手美智子	P.A.Works
寄生獣セイの格率	清水健一	米村正二	マッドハウス
猫のダヤン	作田ハズム	安田元一	勝鬨スタジオ
冴えない彼女の育て方	肥塚正史	小林靖子	WITSTUDIO
ユリ熊嵐	幾原邦彦	伊神貴世	SILVER_LINK
聖剣使いの禁呪詠唱	稲垣隆行	山口宏	ディオメディア
新妹魔王の契約者	吉岡たかを	植竹須美男	プロダクションアイムズ
艦隊これくしょん-艦これ-	草川啓造	花田十輝	ディオメディア
ISUCA	岩永彰	鈴木雅詞	アームス
探偵歌劇ミルキーホームズTD	錦織博	藤田まり子	JCSTAFF
夜ノヤッターマン	吉原達矢	ふでやすかずゆき	タツノコプロ
甘城ブリリアントパーク	武本康弘	志茂文彦	京都アニメーション
天体のメソッド	迫井政行	久弥直樹	3Hz
グリザイアの果実	天衝	倉田英之	エイトビット
俺、ツインテールになります	神戸洋行	荒川稔久	プロダクションアイムズ
結城友奈は勇者である	岸誠二	上江洲誠	Studio五組
Fate/kaleid linerプリズマ☆イリヤ 2wei	神保昌登	井上堅二＆水瀬葉月	SILVER_LINK
ひめゴト	柳瀬雄之	兵藤一歩	旭プロダクション
あいまいみー〜妄想カタストロフ	いまざきいつき	いまざきいつき	セブン
ニセコイ	新房昭之	東冨耶子	シャフト
ご注文はうさぎですか？	橋本祐之	ふでやすかずゆき	WHITE_FOX
機動戦士ガンダム鉄血のオルフェンズ2期	長井龍雪	岡田麿里	サンライズ
ラブライブ！2期	京極尚彦	花田十輝	サンライズ
ストライク・ザ・ブラッド	山本秀世	吉野弘幸	SILVER_LINK
キルラキル	今石洋之	中島かずき	TRIGGER
凪のあすから	篠原俊哉	岡田麿里	P.A.Works
生徒会役員共＊	金澤洪充	金澤洪充	GoHands
のうりん	大沼心	横手美智子	SILVER_LINK
世界征服〜謀略のズヴィズダー	岡村天斎	星空めてお	A-1Pictures
pupa	望月智充	望月智充	スタジオディーン
お姉ちゃんが来た	夕澄慶英	小田武士	C2C
蒼き鋼のアルペジオ	岸誠二	上江洲誠	サンジゲン
IS2期	菊池康仁	弓弦イズル	エイトビット
勇者になれなかった俺はしぶしぶ就職を決意しました			
WHITE ALBUM2	安藤正臣	丸戸史明	サテライト
てーきゅう3期	板垣伸	板垣伸	ミルパンセ
進撃の巨人	荒木哲郎	小林靖子	WITSTUDIO
ムシブギョー	浜名孝行	加藤陽一	セブン・アークス
ローゼンメイデン(新)	畠山守	望月智充	スタジオディーン
きんいろモザイク	天衝	綾奈ゆにこ	Studio五組
てーきゅう2期	板垣伸	板垣伸	ミルパンセ
私がモテないのはどう考えてもお前らが悪い	大沼心	吉岡たかを	SILVER_LINK
Fate/kaleid linerプリズマ☆イリヤ	大沼心	井上堅二＆水瀬葉月	SILVER_LINK
ハイスクールD×D　NEW	柳沢テツヤ	吉岡たかを	TNK
ふたりはミルキィホームズ	錦織博	白根秀樹	JCSTAFF
カーニヴァル	菅沼栄治	待田堂子	マングローブ
はたらく魔王さま！	細田直人	横谷昌宏	WHITE_FOX
百花繚乱サムライブライド	KOBUN	西園悟	アームス
ゆゆ式	かおり	高橋ナツコ	キネマシトラス
波打ち際のむろみさん	吉原達矢	ふでやすかずゆき	タツノコプロ
翠星のガルガンティア	村田和也	虚淵玄	ProductionIG
さくら荘のペットな彼女	いしづかあつこ	岡田麿里	JCSTAFF
ガールズ＆パンツァー	水島努	吉田玲子	アクタス
イクシオンサーガDT	高松信司	大和屋暁	ブレインズ・ベース
ジョジョの奇妙な冒険1部＆2部	津田尚克	小林靖子	david_production
あいまいみー	いまざきいつき	いまざきいつき	セブン
僕は友達が少ないNEXT	喜多幡徹	平坂読	AIC_Build
ささみさん＠がんばらない	新房昭之	高山カツヒコ	シャフト
琴浦さん	太田雅彦	あおしまたかし	AIC_Classic
ラブライブ！	京極尚彦	花田十輝	サンライズ
お兄ちゃんだけど愛さえあれば関係ないよね	川口敬一郎	ふでやすかずゆき	SILVER_LINK
てーきゅう	板垣伸	板垣伸	ミルパンセ
ライチDE光クラブ	たかたまさひろ	たかたまさひろ	ネルケプランニング
だから僕は、Hができない。	高橋丈夫	荒川稔久	feel
ココロコネクト	大沼心	志茂文彦	SILVER_LINK
この中に一人、妹がいる！　　	名和宗則	雑破業	Studio五組
もやしもん	矢野雄一郎	高橋ナツコ	白組
探偵オペラミルキィホームズ	森脇真琴	ふでやすかずゆき	JCSTAFF
Fate/Zero	あおきえい	ufotable	ufotable
LUPIN the Third峰不二子という女	山本沙代	岡田麿里	トムス・エンタテインメント
ギルティクラウン	荒木哲郎	吉野弘幸	ProductionIG
灼眼のシャナ-Final	渡部高志	小林靖子	JCSTAFF
未来日記	細田直人	高山カツヒコ	アスリード
ゼロの使い魔F	岩崎良明	ヤマグチノボル	JCSTAFF
ハイスクールD×D	柳沢テツヤ	吉岡たかを	TNK
あの夏で待ってる	長井龍雪	黒田洋介	JCSTAFF
キルミーベイベー	山川吉樹	白根秀樹	JCSTAFF
Another	水島努	檜垣亮	P.A.Works
アマガミSS+plus	小林智樹	木村暢	AIC
侵略！？イカ娘	山本靖貴	横手美智子	ディオメディア
僕は友達が少ない	斎藤久	浦畑達彦	AIC_Build
Steins;Gate	佐藤卓哉	花田十輝	WHITE_FOX
アスタロッテのおもちゃ！	追崎史敏	赤尾でこ	ディオメディア
緋弾のアリア	渡部高志	白根秀樹	JCSTAFF
電波女と青春男	新房昭之	綾奈ゆにこ	シャフト
星空へ架かる橋	三原武憲	雑破業	動画工房
あの日見た花の名前を僕達はまだ知らない	長井龍雪	岡田麿里	A-1Pictures
これはゾンビですか？	金崎貴臣	上江洲誠	スタジオディーン
魔法少女まどか☆マギカ	新房昭之	虚淵玄	シャフト
IS	菊池康仁	志茂文彦	エイトビット
お兄ちゃんのことなんか全然好きじゃないんだからねっ！！	元永慶太郎	大場小ゆり	ZEXCS
アマガミSS	平池芳正	平池芳正	AIC
屍鬼	アミノテツロ	杉原研二	童夢
百花繚乱サムライガールズ	KOBUN	金月龍之介	アームス
探偵オペラミルキィホームズ	森脇真琴	ふでやすかずゆき	JCSTAFF
ヨスガノソラ	高橋丈夫	荒川稔久	feel
とある魔術の禁書目録2	錦織博	赤星政尚	JCSTAFF
そらのおとしおのｆ	斎藤久	柿原優子	AIC_ASTA
俺の妹がこんなに可愛い訳がない	神戸洋行	倉田英之	AIC_Build
えむえむっ！	長澤剛	子鹿りえ	XEBEC
パンティ＆ストッキングwithガーターベルト	今石洋之	ギークフリート	GAINAX
侵略！イカ娘	水島努	横手美智子	ディオメディア
生徒会役員共	金澤洪充	中村誠	GoHands
オオカミさんと七人の仲間たち	岩崎良明	伊藤美智子	JCSTAFF
セキレイ〜Pure Engagement	草川啓造	吉岡たかを	セブン・アークス
あそびにいくヨ！	植田洋一	高山カツヒコ	AIC_Plus
学園黙示録HIGH SCHOOL OF THE DEAD	荒木哲郎	黒田洋介	マッドハウス
戦国BASARA弐	野村和也	むとうやすゆき	ProductionIG
ストライクウィッチーズ2	高村和宏	ストライカーユニット	AICスピリッツ
B型H系	山本祐介	西園悟	ハルフィルムメーカー
迷い猫オーバーラン！	松智洋	松智洋	AIC
Angel Beats!	岸誠二	麻枝准	P.A.Works
kiss×sis	名和宗則	長谷川勝己	feel
とある科学の超電磁砲	長井龍雪	水上清資	JCSTAFF
ダンスインザヴァンパイアバンド	新房昭之	吉野弘幸	シャフト
