タイトル	ストーリー	キャラクター	作画	音楽	演出
サクラクエスト	4	3	5	3	3
僕のヒーローアカデミア2期	5	5	3	4	3
アホガール	5	5	4	3	3
はじめてのギャル	2	2	1	3	1
Fate/Apocrypha	5	5	2	4	2
メイドインアビス	4	4	5	3	5
最遊記RELOAD BLAST	4	5	5	3	3
天使の3P	3	5	5	3	3
てーきゅう9期	4	4	3	3	4
ノラと皇女と野良猫ハート	4	4	3	2	4
銀魂.	4	4	5	4	3
冴えない彼女の育て方2期	4	5	4	3	4
進撃の巨人2期	4	4	5	5	4
アイドルマスターシンデレラガールズ劇場	2	5	4	3	2
恋愛暴君	1	1	1	3	2
エロマンガ先生	4	5	3	3	3
終末何してますか？忙しいですか？救ってもらってもいいですか？	5	4	4	5	4
つぐもも	4	4	3	3	3
機動戦士ガンダム鉄血のオルフェンズ	4	5	5	5	4
政宗くんのリベンジ	4	4	3	3	3
亜人ちゃんは語りたい	4	5	3	3	2
この素晴らしい世界に祝福を！2期	5	4	4	4	4
あいまいみーSurgical friends	5	5	3	3	5
小林さんちのメイドラゴン	3	5	5	3	3
セイレン	2	4	5	2	2
クズの本懐	5	5	5	4	5
ジョジョの奇妙な冒険ダイヤモンドは砕けない	5	5	5	5	4
おくさまが生徒会長！＋！	2	3	5	2	3
DRIFTERS	5	5	3	4	3
ブレイブウィッチーズ	3	5	4	3	3
ガーリッシュナンバー	4	5	5	3	3
装神少女まとい	3	3	3	3	3
亜人	5	3	3	4	2
学園ハンサム	4	5	4	3	5
Re:ゼロから始まる異世界生活	4	3	5	3	4
この美術部には問題がある！	3	4	4	3	2
魔装学園H×H	2	2	1	2	2
Fate/kaleid linerプリズマ☆イリヤ drei	5	5	3	4	3
91days	4	5	5	5	5
モブサイコ100	4	4	4	3	4
planetarian~ちいさなほしのゆめ	5	5	3	5	4
ダンガンロンパ3 希望編	2	4	4	4	4
ダンガンロンパ3 絶望編	3	4	4	4	4
ハンドレッド	3	3	5	3	3
ネトゲの嫁は女の子じゃないと思った？	2	4	4	3	3
くまみこ	1	3	4	4	4
うしおととら	5	5	4	4	4
甲鉄城のカバネリ	3	5	5	5	5
ビッグオーダー	2	3	4	3	3
コードギアス亡国のアキト	4	4	5	5	5
うたわれるもの偽りの仮面	5	5	4	4	4
おそ松さん	4	4	5	3	4
この素晴らしい世界に祝福を！	4	4	4	4	4
無彩限のファントムワールド	2	4	5	3	3
てーきゅう7期	3	4	4	4	5
僕だけがいない街	5	4	5	5	4
ハッカドール	4	3	5	3	5
緋弾のアリアAA	2	3	1	3	2
進撃！巨人中学校	2	2	3	2	2
俺がお嬢様学校に「庶民サンプル」としてゲッツされた件	2	3	1	1	2
新妹魔王の契約BURST	3	3	4	4	3
ランス・アンド・マスクス	2	4	1	3	3
落第騎士の英雄譚	4	4	4	4	4
ご注文はうさぎですか？？	2	5	5	4	3
終物語	2	2	3	3	4
学戦都市アスタリスク	2	3	3	2	3
櫻子さんの足元には死体が埋まっている	4	5	4	4	5
対魔導学園35試験小隊	2	3	3	3	3
てーきゅう6期	3	3	3	3	5
不思議なソメラちゃん	4	5	4	3	5
DD北斗の拳2イチゴ味＋	1	2	2	3	1
ワンパンマン	4	4	5	4	5
俺物語！！	5	4	3	3	3
ニンジャスレイヤーフロムアニメイシヨン	3	5	3	5	4
のんのんびよりりぴーと	5	5	4	5	5
おくさまが生徒会長！	2	3	4	3	3
干物妹！うまるちゃん	3	5	4	3	4
実は私は	4	4	3	3	3
下ネタという概念が存在しない退屈な世界	4	4	3	3	4
がっこうぐらし！	3	4	4	3	5
てーきゅう5期	3	3	3	3	5
ワカコ酒	2	4	5	4	3
空戦魔導士候補生の教官	1	3	2	1	1
監獄学園プリズンスクール	5	5	5	4	5
乱歩奇譚Game of Laplace	3	4	4	4	5
アイドルマスターシンデレラガールズ	4	5	4	4	4
Fate/kaleid linerプリズマ☆イリヤ 2wei Hertz	5	5	5	5	4
